IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.116.181,4,4,0.00,183.88,0.00
104.16.123.118,4,4,0.00,183.88,0.00
104.19.247.176,4,4,0.00,183.92,0.00
172.64.205.108,4,4,0.00,183.98,0.00
162.159.45.27,4,4,0.00,184.07,0.00
104.19.143.227,4,4,0.00,184.28,0.00
172.64.194.230,4,4,0.00,184.40,0.00
104.21.228.120,4,4,0.00,184.55,0.00
162.159.252.84,4,4,0.00,184.65,0.00
172.64.96.213,4,4,0.00,184.68,0.00
172.64.169.222,4,4,0.00,184.81,0.00
104.19.131.159,4,4,0.00,184.82,0.00
162.159.243.4,4,4,0.00,184.93,0.00
104.21.236.91,4,4,0.00,184.97,0.00
104.18.112.52,4,4,0.00,185.00,0.00
104.19.242.22,4,4,0.00,185.09,0.00
104.19.136.224,4,4,0.00,185.11,0.00
104.19.132.65,4,4,0.00,185.18,0.00
104.18.122.122,4,4,0.00,185.25,0.00
104.19.249.98,4,4,0.00,185.26,0.00
172.64.103.66,4,4,0.00,185.30,0.00
172.64.206.162,4,4,0.00,185.39,0.00
104.21.237.16,4,4,0.00,185.42,0.00
104.19.138.145,4,4,0.00,185.43,0.00
104.19.245.229,4,4,0.00,185.44,0.00
172.64.111.194,4,4,0.00,185.45,0.00
104.18.114.163,4,4,0.00,185.60,0.00
162.159.38.176,4,4,0.00,185.60,0.00
162.159.247.72,4,4,0.00,185.61,0.00
104.16.120.126,4,4,0.00,185.62,0.00
104.19.134.226,4,4,0.00,185.66,0.00
162.159.245.15,4,4,0.00,185.71,0.00
104.19.246.212,4,4,0.00,185.82,0.00
104.19.139.155,4,4,0.00,185.83,0.00
104.19.248.210,4,4,0.00,185.88,0.00
104.19.129.32,4,4,0.00,185.93,0.00
104.16.114.1,4,4,0.00,186.02,0.00
172.64.167.33,4,4,0.00,186.04,0.00
104.18.124.47,4,4,0.00,186.20,0.00
172.64.40.198,4,4,0.00,186.27,0.00
104.19.128.189,4,4,0.00,186.41,0.00
104.21.234.224,4,4,0.00,186.41,0.00
104.21.230.11,4,4,0.00,186.49,0.00
172.64.162.245,4,4,0.00,186.59,0.00
104.18.123.20,4,4,0.00,186.82,0.00
162.159.254.92,4,4,0.00,186.93,0.00
104.18.118.61,4,4,0.00,187.09,0.00
172.64.105.193,4,4,0.00,187.19,0.00
162.159.249.233,4,4,0.00,187.20,0.00
104.19.133.222,4,4,0.00,187.30,0.00
104.19.243.135,4,4,0.00,187.31,0.00
104.19.241.177,4,4,0.00,187.37,0.00
172.64.130.200,4,4,0.00,187.39,0.00
162.159.255.212,4,4,0.00,187.39,0.00
162.159.250.244,4,4,0.00,187.41,0.00
162.159.44.51,4,4,0.00,187.48,0.00
104.16.124.215,4,4,0.00,187.49,0.00
104.16.121.176,4,4,0.00,187.49,0.00
104.21.239.59,4,4,0.00,187.56,0.00
104.19.135.146,4,4,0.00,187.77,0.00
162.159.253.164,4,4,0.00,187.80,0.00
104.16.125.47,4,4,0.00,187.82,0.00
104.19.240.128,4,4,0.00,187.88,0.00
104.19.251.33,4,4,0.00,187.94,0.00
104.16.116.30,4,4,0.00,187.94,0.00
172.64.141.35,4,4,0.00,188.02,0.00
104.16.118.231,4,4,0.00,188.16,0.00
104.19.141.202,4,4,0.00,188.16,0.00
162.159.192.246,4,4,0.00,188.19,0.00
104.18.36.43,4,4,0.00,188.22,0.00
104.19.140.33,4,4,0.00,188.25,0.00
172.64.166.82,4,4,0.00,188.29,0.00
104.16.112.166,4,4,0.00,188.41,0.00
104.19.137.48,4,4,0.00,188.42,0.00
104.18.61.13,4,4,0.00,188.48,0.00
162.159.39.212,4,4,0.00,188.73,0.00
104.18.115.180,4,4,0.00,188.78,0.00
172.64.132.194,4,4,0.00,188.88,0.00
104.16.126.89,4,4,0.00,188.94,0.00
104.18.121.61,4,4,0.00,188.97,0.00
172.64.143.43,4,4,0.00,189.04,0.00
172.64.203.171,4,4,0.00,189.05,0.00
104.21.226.108,4,4,0.00,189.23,0.00
104.19.142.248,4,4,0.00,189.26,0.00
104.16.119.97,4,4,0.00,189.30,0.00
104.21.232.124,4,4,0.00,189.60,0.00
104.18.120.47,4,4,0.00,189.94,0.00
172.64.197.181,4,4,0.00,190.01,0.00
172.64.140.165,4,4,0.00,190.05,0.00
172.64.160.153,4,4,0.00,190.07,0.00
162.159.241.79,4,4,0.00,190.45,0.00
104.18.126.165,4,4,0.00,190.68,0.00
172.64.198.244,4,4,0.00,190.77,0.00
162.159.244.250,4,4,0.00,190.86,0.00
172.64.107.185,4,4,0.00,190.88,0.00
104.16.122.209,4,4,0.00,191.46,0.00
172.64.175.166,4,4,0.00,191.50,0.00
172.64.106.39,4,4,0.00,191.50,0.00
162.159.240.213,4,4,0.00,191.71,0.00
172.64.142.78,4,4,0.00,191.81,0.00
104.21.224.242,4,4,0.00,191.82,0.00
172.64.172.78,4,4,0.00,191.95,0.00
172.64.161.244,4,4,0.00,192.16,0.00
104.16.117.16,4,4,0.00,192.50,0.00
172.64.99.56,4,4,0.00,192.83,0.00
104.19.103.148,4,4,0.00,193.02,0.00
141.101.122.224,4,4,0.00,193.28,0.00
104.18.125.184,4,4,0.00,193.78,0.00
172.64.173.185,4,4,0.00,193.79,0.00
172.64.136.95,4,4,0.00,193.99,0.00
162.159.248.171,4,4,0.00,194.01,0.00
172.64.163.70,4,4,0.00,194.37,0.00
172.64.192.11,4,4,0.00,194.78,0.00
172.64.108.171,4,4,0.00,196.03,0.00
141.101.120.124,4,4,0.00,196.27,0.00
162.159.251.22,4,4,0.00,196.37,0.00
172.64.110.12,4,4,0.00,196.69,0.00
162.159.242.197,4,4,0.00,198.32,0.00
172.64.200.8,4,4,0.00,199.03,0.00
172.64.109.186,4,4,0.00,199.11,0.00
172.64.138.94,4,4,0.00,199.55,0.00
172.64.170.99,4,4,0.00,200.08,0.00
104.19.59.29,4,4,0.00,200.20,0.00
104.16.32.253,4,4,0.00,200.90,0.00
104.19.3.97,4,4,0.00,201.16,0.00
172.64.174.110,4,4,0.00,201.19,0.00
172.64.164.235,4,4,0.00,201.58,0.00
104.19.9.42,4,4,0.00,203.16,0.00
104.19.29.142,4,4,0.00,204.19,0.00
104.19.58.118,4,4,0.00,204.20,0.00
104.18.28.32,4,4,0.00,204.54,0.00
104.19.64.236,4,4,0.00,205.05,0.00
172.64.195.212,4,4,0.00,205.77,0.00
172.64.171.246,4,4,0.00,205.84,0.00
104.19.48.11,4,4,0.00,206.39,0.00
104.19.91.244,4,4,0.00,206.47,0.00
104.17.130.121,4,4,0.00,208.22,0.00
104.19.24.216,4,4,0.00,208.80,0.00
104.19.26.156,4,4,0.00,208.93,0.00
104.19.31.166,4,4,0.00,210.24,0.00
172.65.60.31,4,4,0.00,211.32,0.00
104.19.16.180,4,4,0.00,211.33,0.00
172.65.19.217,4,4,0.00,211.44,0.00
104.19.63.105,4,4,0.00,211.54,0.00
104.19.106.199,4,4,0.00,211.71,0.00
172.64.168.114,4,4,0.00,212.20,0.00
172.67.251.165,4,4,0.00,212.92,0.00
172.67.211.162,4,4,0.00,213.43,0.00
104.21.68.148,4,4,0.00,213.47,0.00
172.67.155.5,4,4,0.00,213.80,0.00
104.21.123.60,4,4,0.00,214.98,0.00
104.19.43.161,4,4,0.00,215.12,0.00
104.19.68.122,4,4,0.00,215.35,0.00
172.67.200.14,4,4,0.00,215.80,0.00
104.21.85.128,4,4,0.00,215.90,0.00
104.19.120.6,4,4,0.00,215.93,0.00
104.21.219.64,4,4,0.00,215.94,0.00
104.19.86.221,4,4,0.00,216.24,0.00
104.19.114.182,4,4,0.00,216.67,0.00
172.65.85.218,4,4,0.00,216.96,0.00
104.19.119.225,4,4,0.00,217.04,0.00
104.19.42.191,4,4,0.00,217.23,0.00
172.67.134.201,4,4,0.00,217.69,0.00
172.65.81.26,4,4,0.00,217.91,0.00
104.19.79.207,4,4,0.00,217.94,0.00
104.19.62.28,4,4,0.00,218.01,0.00
172.67.147.74,4,4,0.00,218.09,0.00
104.17.68.148,4,4,0.00,218.25,0.00
104.21.58.145,4,4,0.00,218.47,0.00
172.67.163.56,4,4,0.00,219.15,0.00
104.21.36.127,4,4,0.00,219.22,0.00
104.21.86.152,4,4,0.00,219.37,0.00
172.65.37.123,4,4,0.00,219.39,0.00
172.65.48.126,4,4,0.00,219.44,0.00
104.21.211.206,4,4,0.00,219.50,0.00
104.19.39.166,4,4,0.00,219.75,0.00
104.21.80.127,4,4,0.00,219.76,0.00
104.21.104.7,4,4,0.00,219.84,0.00
104.21.60.205,4,4,0.00,220.04,0.00
172.64.131.184,4,4,0.00,220.33,0.00
104.21.92.186,4,4,0.00,220.62,0.00
172.67.135.179,4,4,0.00,220.94,0.00
172.67.168.96,4,4,0.00,221.37,0.00
172.67.174.128,4,4,0.00,221.88,0.00
104.21.94.222,4,4,0.00,221.93,0.00
172.67.218.205,4,4,0.00,222.15,0.00
104.19.6.233,4,4,0.00,222.60,0.00
172.67.153.163,4,4,0.00,222.60,0.00
104.21.90.218,4,4,0.00,222.75,0.00
172.65.51.62,4,4,0.00,222.76,0.00
172.67.255.34,4,4,0.00,222.87,0.00
172.67.194.66,4,4,0.00,223.01,0.00
172.67.165.128,4,4,0.00,223.02,0.00
172.67.229.49,4,4,0.00,223.11,0.00
104.19.97.133,4,4,0.00,223.12,0.00
104.21.95.254,4,4,0.00,223.21,0.00
172.67.178.169,4,4,0.00,223.21,0.00
172.67.171.105,4,4,0.00,223.25,0.00
104.21.116.69,4,4,0.00,223.28,0.00
104.21.120.252,4,4,0.00,223.34,0.00
172.67.131.95,4,4,0.00,223.36,0.00
104.21.206.132,4,4,0.00,223.41,0.00
104.21.53.146,4,4,0.00,223.58,0.00
172.65.32.36,4,4,0.00,223.61,0.00
104.21.223.116,4,4,0.00,223.64,0.00
172.67.236.25,4,4,0.00,223.79,0.00
162.159.205.246,4,4,0.00,223.80,0.00
172.65.35.122,4,4,0.00,223.83,0.00
104.21.41.121,4,4,0.00,223.97,0.00
172.65.6.191,4,4,0.00,224.07,0.00
172.67.189.197,4,4,0.00,224.18,0.00
104.21.220.23,4,4,0.00,224.24,0.00
104.21.71.70,4,4,0.00,224.35,0.00
104.21.8.194,4,4,0.00,224.40,0.00
104.21.203.254,4,4,0.00,224.40,0.00
104.21.212.104,4,4,0.00,224.46,0.00
104.21.217.195,4,4,0.00,224.49,0.00
104.19.4.244,4,4,0.00,224.68,0.00
172.67.129.71,4,4,0.00,224.71,0.00
172.67.248.47,4,4,0.00,224.73,0.00
104.21.54.142,4,4,0.00,224.77,0.00
172.67.132.111,4,4,0.00,224.81,0.00
104.21.222.24,4,4,0.00,224.84,0.00
172.67.213.109,4,4,0.00,224.89,0.00
104.19.77.153,4,4,0.00,224.96,0.00
104.21.87.58,4,4,0.00,224.98,0.00
104.21.192.228,4,4,0.00,225.00,0.00
104.19.60.218,4,4,0.00,225.07,0.00
104.21.114.121,4,4,0.00,225.08,0.00
104.21.38.231,4,4,0.00,225.13,0.00
104.21.117.136,4,4,0.00,225.20,0.00
172.67.144.10,4,4,0.00,225.27,0.00
104.21.197.196,4,4,0.00,225.28,0.00
104.21.62.242,4,4,0.00,225.28,0.00
172.65.15.169,4,4,0.00,225.41,0.00
172.67.182.199,4,4,0.00,225.57,0.00
172.65.13.99,4,4,0.00,225.57,0.00
172.67.246.187,4,4,0.00,225.71,0.00
104.19.20.28,4,4,0.00,225.79,0.00
172.67.240.95,4,4,0.00,225.79,0.00
172.67.250.147,4,4,0.00,225.80,0.00
104.21.28.61,4,4,0.00,225.84,0.00
104.21.110.71,4,4,0.00,225.95,0.00
104.21.99.76,4,4,0.00,225.97,0.00
172.65.27.98,4,4,0.00,226.07,0.00
104.19.11.117,4,4,0.00,226.12,0.00
104.21.34.19,4,4,0.00,226.43,0.00
104.21.21.248,4,4,0.00,226.43,0.00
104.19.123.136,4,4,0.00,226.54,0.00
172.67.130.103,4,4,0.00,226.55,0.00
172.67.158.59,4,4,0.00,226.65,0.00
172.65.56.98,4,4,0.00,226.65,0.00
172.67.212.75,4,4,0.00,226.69,0.00
104.21.0.185,4,4,0.00,226.78,0.00
172.65.36.83,4,4,0.00,226.84,0.00
172.65.22.250,4,4,0.00,226.84,0.00
104.21.5.239,4,4,0.00,226.85,0.00
172.65.38.52,4,4,0.00,227.01,0.00
104.21.30.64,4,4,0.00,227.03,0.00
172.67.190.10,4,4,0.00,227.07,0.00
104.21.70.58,4,4,0.00,227.08,0.00
104.21.50.97,4,4,0.00,227.23,0.00
172.65.39.163,4,4,0.00,227.23,0.00
104.21.112.135,4,4,0.00,227.29,0.00
172.67.193.129,4,4,0.00,227.47,0.00
104.21.194.101,4,4,0.00,227.48,0.00
104.21.122.33,4,4,0.00,227.53,0.00
104.21.40.252,4,4,0.00,227.54,0.00
172.67.148.110,4,4,0.00,227.56,0.00
104.21.207.229,4,4,0.00,227.67,0.00
104.21.97.41,4,4,0.00,227.69,0.00
104.21.108.24,4,4,0.00,227.71,0.00
104.21.1.41,4,4,0.00,227.73,0.00
172.65.41.9,4,4,0.00,227.75,0.00
104.21.195.35,4,4,0.00,227.78,0.00
188.114.98.198,4,4,0.00,227.82,0.00
104.21.199.227,4,4,0.00,227.82,0.00
172.67.128.75,4,4,0.00,227.84,0.00
172.67.231.47,4,4,0.00,227.93,0.00
172.67.199.93,4,4,0.00,227.95,0.00
188.114.96.254,4,4,0.00,227.99,0.00
172.67.141.199,4,4,0.00,228.00,0.00
172.67.228.78,4,4,0.00,228.05,0.00
172.67.140.8,4,4,0.00,228.13,0.00
172.65.59.132,4,4,0.00,228.13,0.00
104.21.47.219,4,4,0.00,228.24,0.00
172.65.30.21,4,4,0.00,228.27,0.00
172.67.235.160,4,4,0.00,228.33,0.00
104.21.29.155,4,4,0.00,228.33,0.00
172.65.17.91,4,4,0.00,228.40,0.00
104.21.126.191,4,4,0.00,228.44,0.00
172.67.186.59,4,4,0.00,228.52,0.00
172.65.2.235,4,4,0.00,228.77,0.00
172.65.58.36,4,4,0.00,228.79,0.00
172.65.16.76,4,4,0.00,228.80,0.00
104.21.56.190,4,4,0.00,228.83,0.00
172.67.243.233,4,4,0.00,228.87,0.00
172.65.29.66,4,4,0.00,228.87,0.00
172.65.43.145,4,4,0.00,228.90,0.00
104.21.18.228,4,4,0.00,228.92,0.00
104.21.42.193,4,4,0.00,229.07,0.00
172.67.215.57,4,4,0.00,229.07,0.00
172.67.157.120,4,4,0.00,229.12,0.00
104.21.64.245,4,4,0.00,229.14,0.00
172.67.175.118,4,4,0.00,229.17,0.00
172.67.191.187,4,4,0.00,229.18,0.00
172.67.152.111,4,4,0.00,229.18,0.00
172.67.227.152,4,4,0.00,229.22,0.00
172.67.201.147,4,4,0.00,229.29,0.00
104.19.122.238,4,4,0.00,229.29,0.00
172.67.253.135,4,4,0.00,229.32,0.00
172.67.172.198,4,4,0.00,229.32,0.00
104.19.49.78,4,4,0.00,229.36,0.00
172.65.12.231,4,4,0.00,229.36,0.00
172.67.177.115,4,4,0.00,229.41,0.00
172.65.4.248,4,4,0.00,229.44,0.00
104.21.69.135,4,4,0.00,229.66,0.00
172.67.161.45,4,4,0.00,229.69,0.00
104.21.45.73,4,4,0.00,229.70,0.00
172.67.233.0,4,4,0.00,229.70,0.00
104.21.196.136,4,4,0.00,229.71,0.00
172.65.46.48,4,4,0.00,229.71,0.00
104.21.91.61,4,4,0.00,229.72,0.00
172.67.133.9,4,4,0.00,229.74,0.00
172.67.185.169,4,4,0.00,229.76,0.00
104.21.52.19,4,4,0.00,229.81,0.00
104.21.65.40,4,4,0.00,229.86,0.00
104.21.81.60,4,4,0.00,229.92,0.00
172.67.160.23,4,4,0.00,229.96,0.00
172.67.151.157,4,4,0.00,229.96,0.00
104.21.61.126,4,4,0.00,229.97,0.00
172.67.181.82,4,4,0.00,230.02,0.00
104.21.3.219,4,4,0.00,230.11,0.00
172.65.10.51,4,4,0.00,230.14,0.00
104.19.70.184,4,4,0.00,230.21,0.00
104.21.75.111,4,4,0.00,230.29,0.00
172.67.242.237,4,4,0.00,230.32,0.00
172.67.249.170,4,4,0.00,230.37,0.00
172.65.0.73,4,4,0.00,230.38,0.00
104.21.19.202,4,4,0.00,230.49,0.00
104.21.67.90,4,4,0.00,230.53,0.00
172.67.202.34,4,4,0.00,230.61,0.00
104.21.7.201,4,4,0.00,230.65,0.00
172.65.21.61,4,4,0.00,230.70,0.00
172.67.146.217,4,4,0.00,230.74,0.00
104.21.55.46,4,4,0.00,230.78,0.00
172.67.217.107,4,4,0.00,230.78,0.00
104.21.202.180,4,4,0.00,230.79,0.00
172.67.223.82,4,4,0.00,230.88,0.00
104.21.66.29,4,4,0.00,230.88,0.00
172.67.176.143,4,4,0.00,230.91,0.00
104.21.213.239,4,4,0.00,230.91,0.00
104.21.74.185,4,4,0.00,230.96,0.00
172.67.203.173,4,4,0.00,231.01,0.00
172.67.138.40,4,4,0.00,231.04,0.00
104.21.46.158,4,4,0.00,231.04,0.00
104.21.78.20,4,4,0.00,231.06,0.00
172.67.195.93,4,4,0.00,231.06,0.00
104.21.4.28,4,4,0.00,231.06,0.00
104.21.218.227,4,4,0.00,231.08,0.00
104.21.73.84,4,4,0.00,231.08,0.00
104.21.198.5,4,4,0.00,231.16,0.00
104.21.100.94,4,4,0.00,231.17,0.00
172.67.225.105,4,4,0.00,231.23,0.00
104.21.15.173,4,4,0.00,231.28,0.00
172.67.156.16,4,4,0.00,231.39,0.00
104.21.17.68,4,4,0.00,231.40,0.00
172.65.14.208,4,4,0.00,231.43,0.00
172.65.53.151,4,4,0.00,231.46,0.00
104.21.43.46,4,4,0.00,231.49,0.00
172.65.62.228,4,4,0.00,231.54,0.00
172.67.170.50,4,4,0.00,231.58,0.00
104.21.98.136,4,4,0.00,231.66,0.00
104.21.125.68,4,4,0.00,231.68,0.00
104.21.82.68,4,4,0.00,231.71,0.00
172.67.220.72,4,4,0.00,231.74,0.00
104.21.109.35,4,4,0.00,231.76,0.00
104.21.72.49,4,4,0.00,231.89,0.00
172.67.164.135,4,4,0.00,231.90,0.00
104.19.98.194,4,4,0.00,231.92,0.00
172.67.226.240,4,4,0.00,231.94,0.00
104.21.79.83,4,4,0.00,231.96,0.00
172.67.254.53,4,4,0.00,231.99,0.00
104.21.16.114,4,4,0.00,232.00,0.00
172.67.184.64,4,4,0.00,232.08,0.00
172.65.1.24,4,4,0.00,232.13,0.00
172.67.221.3,4,4,0.00,232.18,0.00
172.65.47.138,4,4,0.00,232.24,0.00
172.67.230.78,4,4,0.00,232.25,0.00
172.65.40.193,4,4,0.00,232.27,0.00
104.21.215.190,4,4,0.00,232.29,0.00
172.65.63.241,4,4,0.00,232.40,0.00
104.21.26.33,4,4,0.00,232.48,0.00
104.21.124.212,4,4,0.00,232.52,0.00
172.67.224.164,4,4,0.00,232.60,0.00
104.21.22.78,4,4,0.00,232.61,0.00
172.67.179.166,4,4,0.00,232.66,0.00
104.21.209.89,4,4,0.00,232.87,0.00
104.21.57.175,4,4,0.00,232.94,0.00
172.65.11.64,4,4,0.00,232.97,0.00
172.67.145.227,4,4,0.00,233.01,0.00
104.21.89.178,4,4,0.00,233.08,0.00
104.21.127.161,4,4,0.00,233.10,0.00
104.21.83.146,4,4,0.00,233.12,0.00
172.67.216.124,4,4,0.00,233.14,0.00
104.21.37.197,4,4,0.00,233.16,0.00
172.67.245.193,4,4,0.00,233.17,0.00
172.65.50.3,4,4,0.00,233.19,0.00
172.67.206.79,4,4,0.00,233.20,0.00
104.21.77.173,4,4,0.00,233.21,0.00
104.21.31.193,4,4,0.00,233.30,0.00
172.65.20.139,4,4,0.00,233.32,0.00
104.21.205.20,4,4,0.00,233.42,0.00
104.19.82.55,4,4,0.00,233.47,0.00
104.21.10.155,4,4,0.00,233.51,0.00
172.65.18.1,4,4,0.00,233.59,0.00
172.65.9.47,4,4,0.00,233.72,0.00
172.65.24.94,4,4,0.00,233.73,0.00
104.21.101.214,4,4,0.00,233.74,0.00
172.65.54.24,4,4,0.00,233.86,0.00
104.21.76.213,4,4,0.00,234.17,0.00
172.67.150.30,4,4,0.00,234.36,0.00
172.67.234.162,4,4,0.00,234.44,0.00
172.65.45.129,4,4,0.00,234.48,0.00
172.67.183.44,4,4,0.00,234.53,0.00
172.67.237.64,4,4,0.00,234.54,0.00
172.67.208.29,4,4,0.00,234.57,0.00
172.65.52.151,4,4,0.00,234.58,0.00
104.21.93.152,4,4,0.00,234.58,0.00
104.21.216.48,4,4,0.00,234.58,0.00
104.25.23.135,4,4,0.00,234.61,0.00
104.21.24.192,4,4,0.00,234.65,0.00
104.21.48.164,4,4,0.00,234.72,0.00
172.65.8.30,4,4,0.00,234.73,0.00
172.67.219.32,4,4,0.00,234.74,0.00
104.21.44.250,4,4,0.00,234.76,0.00
104.21.51.221,4,4,0.00,234.77,0.00
104.20.27.212,4,4,0.00,234.84,0.00
104.21.32.92,4,4,0.00,234.88,0.00
172.67.247.128,4,4,0.00,234.89,0.00
104.21.20.234,4,4,0.00,234.91,0.00
104.21.102.138,4,4,0.00,234.93,0.00
172.67.188.119,4,4,0.00,234.94,0.00
104.21.25.57,4,4,0.00,234.98,0.00
172.67.149.202,4,4,0.00,235.00,0.00
172.65.26.137,4,4,0.00,235.07,0.00
172.67.210.169,4,4,0.00,235.07,0.00
104.21.49.90,4,4,0.00,235.08,0.00
104.21.200.132,4,4,0.00,235.15,0.00
104.27.114.58,4,4,0.00,235.25,0.00
172.65.141.34,4,4,0.00,235.26,0.00
104.27.8.219,4,4,0.00,235.30,0.00
172.67.143.215,4,4,0.00,235.32,0.00
172.67.159.105,4,4,0.00,235.37,0.00
172.67.180.154,4,4,0.00,235.39,0.00
104.24.94.252,4,4,0.00,235.44,0.00
104.21.103.63,4,4,0.00,235.47,0.00
104.23.100.15,4,4,0.00,235.47,0.00
172.65.61.149,4,4,0.00,235.49,0.00
104.21.111.213,4,4,0.00,235.55,0.00
172.67.137.179,4,4,0.00,235.55,0.00
104.21.6.56,4,4,0.00,235.57,0.00
104.21.208.164,4,4,0.00,235.62,0.00
172.67.173.22,4,4,0.00,235.63,0.00
104.25.228.148,4,4,0.00,235.66,0.00
104.20.23.191,4,4,0.00,235.67,0.00
104.27.61.150,4,4,0.00,235.68,0.00
188.114.97.228,4,4,0.00,235.72,0.00
104.24.83.46,4,4,0.00,235.74,0.00
104.24.15.212,4,4,0.00,235.76,0.00
104.23.127.231,4,4,0.00,235.76,0.00
104.21.33.199,4,4,0.00,235.77,0.00
172.65.44.102,4,4,0.00,235.85,0.00
104.21.2.34,4,4,0.00,235.86,0.00
104.24.229.179,4,4,0.00,235.89,0.00
172.65.28.75,4,4,0.00,235.89,0.00
104.21.107.189,4,4,0.00,235.90,0.00
104.21.113.72,4,4,0.00,235.99,0.00
104.24.75.14,4,4,0.00,236.03,0.00
104.19.107.68,4,4,0.00,236.03,0.00
172.67.136.186,4,4,0.00,236.04,0.00
104.21.106.23,4,4,0.00,236.04,0.00
172.65.42.167,4,4,0.00,236.08,0.00
104.20.159.16,4,4,0.00,236.09,0.00
172.67.214.139,4,4,0.00,236.11,0.00
104.21.115.174,4,4,0.00,236.13,0.00
172.67.196.154,4,4,0.00,236.14,0.00
172.65.23.197,4,4,0.00,236.15,0.00
104.25.45.115,4,4,0.00,236.24,0.00
172.67.109.23,4,4,0.00,236.27,0.00
104.21.27.191,4,4,0.00,236.29,0.00
172.65.34.56,4,4,0.00,236.38,0.00
172.65.49.194,4,4,0.00,236.38,0.00
104.21.12.253,4,4,0.00,236.45,0.00
104.27.107.128,4,4,0.00,236.46,0.00
104.25.234.167,4,4,0.00,236.56,0.00
172.65.31.146,4,4,0.00,236.62,0.00
104.21.204.137,4,4,0.00,236.67,0.00
172.67.239.216,4,4,0.00,236.80,0.00
172.65.129.106,4,4,0.00,236.82,0.00
172.65.184.248,4,4,0.00,236.85,0.00
104.24.160.114,4,4,0.00,236.97,0.00
104.24.235.41,4,4,0.00,237.00,0.00
104.27.88.124,4,4,0.00,237.05,0.00
188.114.99.88,4,4,0.00,237.06,0.00
172.67.162.140,4,4,0.00,237.21,0.00
104.25.129.159,4,4,0.00,237.22,0.00
172.67.192.251,4,4,0.00,237.25,0.00
104.21.193.38,4,4,0.00,237.28,0.00
104.25.54.16,4,4,0.00,237.32,0.00
104.22.36.40,4,4,0.00,237.39,0.00
104.21.13.140,4,4,0.00,237.42,0.00
104.27.198.138,4,4,0.00,237.44,0.00
104.24.193.204,4,4,0.00,237.48,0.00
172.65.57.121,4,4,0.00,237.51,0.00
104.21.88.31,4,4,0.00,237.52,0.00
104.27.75.11,4,4,0.00,237.54,0.00
104.19.69.168,4,4,0.00,237.60,0.00
104.21.214.165,4,4,0.00,237.65,0.00
172.65.5.133,4,4,0.00,237.65,0.00
104.20.98.145,4,4,0.00,237.66,0.00
104.21.84.244,4,4,0.00,237.69,0.00
172.66.210.213,4,4,0.00,237.71,0.00
172.67.205.199,4,4,0.00,237.73,0.00
104.24.186.250,4,4,0.00,237.76,0.00
172.66.170.193,4,4,0.00,237.80,0.00
104.20.146.101,4,4,0.00,237.81,0.00
104.20.72.156,4,4,0.00,237.82,0.00
104.19.30.15,4,4,0.00,237.91,0.00
104.20.63.15,4,4,0.00,237.95,0.00
104.20.82.87,4,4,0.00,237.97,0.00
104.27.73.47,4,4,0.00,237.99,0.00
104.25.49.6,4,4,0.00,237.99,0.00
104.24.5.17,4,4,0.00,238.00,0.00
